Rogny les sept écluses|Yonne->47.7421564:2.880949
Escrignelles|Loiret->47.7152789:2.8216744
Béthancourt|Oise->32.9315755:10.4503961
Migennes|Yonne->47.9647312:3.5225691
Saint Vaast De Longmont|Oise->49.3026307:2.7356188
Saint Hilaire sur Puiseaux|Loiret->47.9018013:2.7052507
Mont Saint Eloi|Pas de Calais->50.3514294:2.692501
Mesnil Hue|Manche->48.8898344:-1.2992825
Rosalie Estate|Pamplemousses->32.9315755:10.4503961
Villers Saint Sépulcre|Oise->49.3657583:2.2153096
Sainte Marie de Ré|Charente Maritime->46.1491638:-1.3115373
Ravin|Maurice->32.9315755:10.4503961
Meung sur Loire|Loiret->47.8268972:1.6968055
VIgnemont|Oise->49.5019632:2.7753498
Beauvais|Oise->49.4300997:2.0823355
Rivière du rempart|Rivière du rempart->-20.106789:57.6867219
Brienon l'archevêque|Yonne->32.9315755:10.4503961
Dampierre en Burly|Loiret->47.760981:2.517088
La Bussière|Loiret->47.7453406:2.7496368
Le Mesnil Bonant|Manche->48.8997659:-1.3004412
Saint Pierre d'Arthéglise|Manche->49.4140483:-1.6921687
Montbouy|Loiret->47.8617306:2.8208506
Bel Air|Flacq->-20.2559669:57.7570727
Formigny|Calvados->49.332667799999996:-0.8925427256521731
Carantilly|Manche->49.065507:-1.2418287
Douchy|Loiret->47.94150260000001:3.0505253561776087
laroche Saint Cydroine|Yonne->47.9642268:3.4843747
Dixmont|Yonne->48.08185:3.41362
La Trinité|Manche->48.7913715:-1.2353165
Les Perques|Manche->49.4467663:-1.6579987
Flottemanville|Manche->49.4737559:-1.4558489
Centre de Flacq|Mauritius->32.9315755:10.4503961
Sainte Marie du Mont|Manche->49.3788361:-1.2254755
Fermanville|Manche->49.686865:-1.4416205
Ognon|Oise->49.240039499999995:2.6422105417532853
Quatre Bornes|Plaines Wilhems->-20.2643015:57.4800061
Tannerre en Puisaye|Yonne->47.7352604:3.1312832
Héry|Yonne->47.90093:3.62501
Le Ham|Manche->49.4501906:-1.4173016
Sainte Geneviève des Bois|Loiret->47.8177516:2.8201867
Aillant sur Milleron|Loiret->47.7930548:2.9294134
Sury ès Bois|Cher->47.4641858:2.7036218
Joigny|Yonne->47.9825085:3.3991365
Agon-Coutainville|Manche->49.0413:-1.58178
Mont Saint Sulpice|Yonne->47.9522473:3.6255038
Saint Firmin sur Loire|Loiret->47.6253509:2.7312788
Sainte Pience|Manche->48.768341899999996:-1.2933244871278267
Avrolles|Yonne->48.0035465:3.6825925
Rivière du Rempart|Rivière du Rempart->-20.106789:57.6867219
Septfonds|Yonne->47.702173:3.0966674
Esnon|Yonne->47.98398:3.57506
Digulleville|Manche->49.7003788:-1.8589732
Saussemesnil|Manche->49.5705943:-1.4578652
Gonfreville|Manche->49.2387683:-1.3934869
Gréville Hague|Manche->49.6746397:-1.8008265
Saint Germain le Gaillard|Manche->49.486919:-1.7804671
